t1,t2,prop_low,prop_med,prop_high,recall_high,fp_rate_high,crit_in_high,non_in_high,prop_ok,fp_ok,p1,p2,reason
0.019638435654342118,0.26595532894134527,0.5733333333333334,0.30666666666666664,0.12,0.2,0.1076923076923077,2,7,False,True,57,88,
0.019638435654342118,0.2861774861812591,0.5733333333333334,0.30666666666666664,0.12,0.2,0.1076923076923077,2,7,False,True,57,89,
0.019638435654342118,0.4081761717796342,0.5733333333333334,0.32,0.10666666666666667,0.2,0.09230769230769231,2,6,False,True,57,90,
0.019638435654342118,0.5290481948852543,0.5733333333333334,0.3333333333333333,0.09333333333333334,0.2,0.07692307692307693,2,5,False,True,57,91,
0.019638435654342118,0.6140420651435852,0.5733333333333334,0.3466666666666667,0.08,0.2,0.06153846153846154,2,4,False,True,57,92,
0.019638435654342118,0.6444703304767612,0.5733333333333334,0.3466666666666667,0.08,0.2,0.06153846153846154,2,4,False,True,57,93,
0.019638435654342118,0.7295469760894778,0.5733333333333334,0.36,0.06666666666666667,0.2,0.046153846153846156,2,3,False,True,57,94,
0.019638435654342118,0.7957825124263763,0.5733333333333334,0.37333333333333335,0.05333333333333334,0.2,0.03076923076923077,2,2,False,True,57,95,
0.019638435654342118,0.808075954914093,0.5733333333333334,0.38666666666666666,0.04,0.2,0.015384615384615385,2,1,False,True,57,96,
0.019638435654342118,0.8108203637599946,0.5733333333333334,0.38666666666666666,0.04,0.2,0.015384615384615385,2,1,False,True,57,97,
0.019638435654342118,0.8775306439399714,0.5733333333333334,0.4,0.02666666666666667,0.1,0.015384615384615385,1,1,False,True,57,98,
0.019638435654342118,0.9468697357177736,0.5733333333333334,0.41333333333333333,0.013333333333333334,0.0,0.015384615384615385,0,1,False,True,57,99,
0.021007595285773183,0.17967018038034435,0.5733333333333334,0.26666666666666666,0.16,0.2,0.15384615384615385,2,10,False,False,58,85,
0.021007595285773183,0.20275903761386868,0.5733333333333334,0.28,0.14666666666666667,0.2,0.13846153846153847,2,9,False,True,58,86,
0.021007595285773183,0.23343122482299777,0.5733333333333334,0.29333333333333333,0.13333333333333333,0.2,0.12307692307692308,2,8,False,True,58,87,
0.021007595285773183,0.26595532894134527,0.5733333333333334,0.30666666666666664,0.12,0.2,0.1076923076923077,2,7,False,True,58,88,
0.021007595285773183,0.2861774861812591,0.5733333333333334,0.30666666666666664,0.12,0.2,0.1076923076923077,2,7,False,True,58,89,
0.021007595285773183,0.4081761717796342,0.5733333333333334,0.32,0.10666666666666667,0.2,0.09230769230769231,2,6,False,True,58,90,
0.021007595285773183,0.5290481948852543,0.5733333333333334,0.3333333333333333,0.09333333333333334,0.2,0.07692307692307693,2,5,False,True,58,91,
0.021007595285773183,0.6140420651435852,0.5733333333333334,0.3466666666666667,0.08,0.2,0.06153846153846154,2,4,False,True,58,92,
0.021007595285773183,0.6444703304767612,0.5733333333333334,0.3466666666666667,0.08,0.2,0.06153846153846154,2,4,False,True,58,93,
0.021007595285773183,0.7295469760894778,0.5733333333333334,0.36,0.06666666666666667,0.2,0.046153846153846156,2,3,False,True,58,94,
0.021007595285773183,0.7957825124263763,0.5733333333333334,0.37333333333333335,0.05333333333333334,0.2,0.03076923076923077,2,2,False,True,58,95,
0.021007595285773183,0.808075954914093,0.5733333333333334,0.38666666666666666,0.04,0.2,0.015384615384615385,2,1,False,True,58,96,
0.021007595285773183,0.8108203637599946,0.5733333333333334,0.38666666666666666,0.04,0.2,0.015384615384615385,2,1,False,True,58,97,
0.021007595285773183,0.8775306439399714,0.5733333333333334,0.4,0.02666666666666667,0.1,0.015384615384615385,1,1,False,True,58,98,
0.021007595285773183,0.9468697357177736,0.5733333333333334,0.41333333333333333,0.013333333333333334,0.0,0.015384615384615385,0,1,False,True,58,99,
0.0220104946941137,0.17967018038034435,0.5866666666666667,0.25333333333333335,0.16,0.2,0.15384615384615385,2,10,False,False,59,85,
0.0220104946941137,0.20275903761386868,0.5866666666666667,0.26666666666666666,0.14666666666666667,0.2,0.13846153846153847,2,9,False,True,59,86,
0.0220104946941137,0.23343122482299777,0.5866666666666667,0.28,0.13333333333333333,0.2,0.12307692307692308,2,8,False,True,59,87,
0.0220104946941137,0.26595532894134527,0.5866666666666667,0.29333333333333333,0.12,0.2,0.1076923076923077,2,7,False,True,59,88,
0.0220104946941137,0.2861774861812591,0.5866666666666667,0.29333333333333333,0.12,0.2,0.1076923076923077,2,7,False,True,59,89,
0.0220104946941137,0.4081761717796342,0.5866666666666667,0.30666666666666664,0.10666666666666667,0.2,0.09230769230769231,2,6,False,True,59,90,
0.0220104946941137,0.5290481948852543,0.5866666666666667,0.32,0.09333333333333334,0.2,0.07692307692307693,2,5,False,True,59,91,
0.0220104946941137,0.6140420651435852,0.5866666666666667,0.3333333333333333,0.08,0.2,0.06153846153846154,2,4,False,True,59,92,
0.0220104946941137,0.6444703304767612,0.5866666666666667,0.3333333333333333,0.08,0.2,0.06153846153846154,2,4,False,True,59,93,
0.0220104946941137,0.7295469760894778,0.5866666666666667,0.3466666666666667,0.06666666666666667,0.2,0.046153846153846156,2,3,False,True,59,94,
0.0220104946941137,0.7957825124263763,0.5866666666666667,0.36,0.05333333333333334,0.2,0.03076923076923077,2,2,False,True,59,95,
0.0220104946941137,0.808075954914093,0.5866666666666667,0.37333333333333335,0.04,0.2,0.015384615384615385,2,1,False,True,59,96,
0.0220104946941137,0.8108203637599946,0.5866666666666667,0.37333333333333335,0.04,0.2,0.015384615384615385,2,1,False,True,59,97,
0.0220104946941137,0.8775306439399714,0.5866666666666667,0.38666666666666666,0.02666666666666667,0.1,0.015384615384615385,1,1,False,True,59,98,
0.0220104946941137,0.9468697357177736,0.5866666666666667,0.4,0.013333333333333334,0.0,0.015384615384615385,0,1,False,True,59,99,
0.02464177422225473,0.17967018038034435,0.6,0.24,0.16,0.2,0.15384615384615385,2,10,False,False,60,85,
0.02464177422225473,0.20275903761386868,0.6,0.25333333333333335,0.14666666666666667,0.2,0.13846153846153847,2,9,False,True,60,86,
0.02464177422225473,0.23343122482299777,0.6,0.26666666666666666,0.13333333333333333,0.2,0.12307692307692308,2,8,False,True,60,87,
0.02464177422225473,0.26595532894134527,0.6,0.28,0.12,0.2,0.1076923076923077,2,7,False,True,60,88,
0.02464177422225473,0.2861774861812591,0.6,0.28,0.12,0.2,0.1076923076923077,2,7,False,True,60,89,
0.02464177422225473,0.4081761717796342,0.6,0.29333333333333333,0.10666666666666667,0.2,0.09230769230769231,2,6,False,True,60,90,
0.02464177422225473,0.5290481948852543,0.6,0.30666666666666664,0.09333333333333334,0.2,0.07692307692307693,2,5,False,True,60,91,
0.02464177422225473,0.6140420651435852,0.6,0.32,0.08,0.2,0.06153846153846154,2,4,False,True,60,92,
0.02464177422225473,0.6444703304767612,0.6,0.32,0.08,0.2,0.06153846153846154,2,4,False,True,60,93,
0.02464177422225473,0.7295469760894778,0.6,0.3333333333333333,0.06666666666666667,0.2,0.046153846153846156,2,3,False,True,60,94,
0.02464177422225473,0.7957825124263763,0.6,0.3466666666666667,0.05333333333333334,0.2,0.03076923076923077,2,2,False,True,60,95,
0.02464177422225473,0.808075954914093,0.6,0.36,0.04,0.2,0.015384615384615385,2,1,False,True,60,96,
0.02464177422225473,0.8108203637599946,0.6,0.36,0.04,0.2,0.015384615384615385,2,1,False,True,60,97,
0.02464177422225473,0.8775306439399714,0.6,0.37333333333333335,0.02666666666666667,0.1,0.015384615384615385,1,1,False,True,60,98,
0.02464177422225473,0.9468697357177736,0.6,0.38666666666666666,0.013333333333333334,0.0,0.015384615384615385,0,1,False,True,60,99,
0.028092008642852277,0.17967018038034435,0.6133333333333333,0.22666666666666666,0.16,0.2,0.15384615384615385,2,10,False,False,61,85,
0.028092008642852277,0.20275903761386868,0.6133333333333333,0.24,0.14666666666666667,0.2,0.13846153846153847,2,9,False,True,61,86,
0.028092008642852277,0.23343122482299777,0.6133333333333333,0.25333333333333335,0.13333333333333333,0.2,0.12307692307692308,2,8,False,True,61,87,
0.028092008642852277,0.26595532894134527,0.6133333333333333,0.26666666666666666,0.12,0.2,0.1076923076923077,2,7,False,True,61,88,
0.028092008642852277,0.2861774861812591,0.6133333333333333,0.26666666666666666,0.12,0.2,0.1076923076923077,2,7,False,True,61,89,
0.028092008642852277,0.4081761717796342,0.6133333333333333,0.28,0.10666666666666667,0.2,0.09230769230769231,2,6,False,True,61,90,
0.028092008642852277,0.5290481948852543,0.6133333333333333,0.29333333333333333,0.09333333333333334,0.2,0.07692307692307693,2,5,False,True,61,91,
0.028092008642852277,0.6140420651435852,0.6133333333333333,0.30666666666666664,0.08,0.2,0.06153846153846154,2,4,False,True,61,92,
